Age,Conference,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
29,,4/14/1985,1978,5-Jun,Micheal Ray Richardson,PG,1984-1985,1985,6,New Jersey Nets,189,1
23,,4/7/1985,1982,6-Jun,Derek Smith,SG,1984-1985,1985,2,Los Angeles Clippers,205,1
28,,4/1/1985,1979,6-Jun,Calvin Natt,F,1984-1985,1985,5,Denver Nuggets,220,1
37,,3/24/1985,1969,2-Jul,Kareem Abdul-Jabbar,C,1984-1985,1985,15,Los Angeles Lakers,225,1
28,,3/17/1985,1978,9-Jun,Larry Bird,SF,1984-1985,1985,5,Boston Celtics,220,1
26,,3/10/1985,1980,4-Jun,Darrell Griffith,SG,1984-1985,1985,4,Utah Jazz,190,1
24,,3/3/1985,1982,3-Jun,Sleepy Floyd,PG,1984-1985,1985,2,Golden State Warriors,170,1
25,,2/24/1985,1981,6-Jun,Mark Aguirre,SF,1984-1985,1985,3,Dallas Mavericks,232,1
25,,2/17/1985,1979,9-Jun,Magic Johnson,PG,1984-1985,1985,5,Los Angeles Lakers,255,1
25,,2/3/1985,1982,7-Jun,Dominique Wilkins,SF,1984-1985,1985,2,Atlanta Hawks,200,1
32,,1/27/1985,1974,11-Jun,Tom McMillen,PF,1984-1985,1985,9,Washington Bullets,215,1
22,,1/20/1985,1984,6-Jun,Michael Jordan,SG,1984-1985,1985,0,Chicago Bulls,215,1
31,,1/13/1985,1975,2-Jun,World B. Free,G,1984-1985,1985,9,Cleveland Cavaliers,185,1
23,,1/6/1985,1981,1-Jun,Isiah Thomas,PG,1984-1985,1985,3,Detroit Pistons,180,1
29,,12/30/1984,1978,5-Jun,Micheal Ray Richardson,PG,1984-1985,1985,6,New Jersey Nets,189,1
23,,12/23/1984,1982,9-Jun,Terry Cummings,PF,1984-1985,1985,2,Milwaukee Bucks,220,1
23,,12/16/1984,1982,6-Jun,Derek Smith,SG,1984-1985,1985,2,Los Angeles Clippers,205,1
25,,12/9/1984,1981,9-Jun,Orlando Woolridge,PF,1984-1985,1985,3,Chicago Bulls,215,1
29,,12/2/1984,1977,11-Jun,Jack Sikma,C,1984-1985,1985,7,Seattle SuperSonics,230,1
28,,11/25/1984,1977,7-Jun,Bernard King,SF,1984-1985,1985,7,New York Knicks,205,1
29,,11/18/1984,1976,10-Jun,Moses Malone,C,1984-1985,1985,8,Philadelphia Sixers,215,1
31,,11/11/1984,1976,7-Jun,Alex English,SF,1984-1985,1985,8,Denver Nuggets,190,1
26,,11/4/1984,1981,10-Jun,Larry Nance,PF,1984-1985,1985,3,Phoenix Suns,205,1
26,,4/13/1986,1982,7-Jun,Dominique Wilkins,SF,1985-1986,1986,3,Atlanta Hawks,200,1
28,,4/6/1986,1981,10-Jun,Herb Williams,C,1985-1986,1986,4,Indiana Pacers,242,1
23,,3/30/1986,1984,6-Jun,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,252,1
30,,3/23/1986,1976,5-Jun,Adrian Dantley,SF,1985-1986,1986,9,Utah Jazz,208,1
29,,3/16/1986,1978,9-Jun,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1
26,,3/9/1986,1979,9-Jun,Magic Johnson,PG,1985-1986,1986,6,Los Angeles Lakers,255,1
23,,3/2/1986,1984,6-Jun,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,252,1
28,,2/23/1986,1979,3-Jun,Sidney Moncrief,SG,1985-1986,1986,6,Milwaukee Bucks,180,1
29,,2/16/1986,1978,9-Jun,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1
32,,2/2/1986,1976,7-Jun,Alex English,SF,1985-1986,1986,9,Denver Nuggets,190,1
23,,1/26/1986,1984,6-Jun,Charles Barkley,PF,1985-1986,1986,1,Philadelphia Sixers,252,1
29,,1/19/1986,1978,9-Jun,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1
29,,1/12/1986,1979,6-Jun,Calvin Natt,F,1985-1986,1986,6,Denver Nuggets,220,1
23,,1/5/1986,1983,7-Jun,Clyde Drexler,SG,1985-1986,1986,2,Portland Trail Blazers,210,1
26,,12/29/1985,1982,7-Jun,Dominique Wilkins,SF,1985-1986,1986,3,Atlanta Hawks,200,1
27,,12/22/1985,1981,10-Jun,Larry Nance,PF,1985-1986,1986,4,Phoenix Suns,205,1
23,,12/15/1985,1984,3-Jun,Alvin Robertson,SG,1985-1986,1986,1,San Antonio Spurs,185,1
27,,12/8/1985,1980,10-Jun,Jeff Ruland,C,1985-1986,1986,4,Washington Bullets,240,1
29,,12/1/1985,1978,9-Jun,Larry Bird,SF,1985-1986,1986,6,Boston Celtics,220,1
32,,11/24/1985,1976,7-Jun,Alex English,SF,1985-1986,1986,9,Denver Nuggets,190,1
23,,11/17/1985,1985,Jul-00,Patrick Ewing,C,1985-1986,1986,0,New York Knicks,240,1
25,,11/10/1985,1981,8-Jun,Buck Williams,PF,1985-1986,1986,4,New Jersey Nets,215,1
24,,11/3/1985,1982,6-Jun,Derek Smith,SG,1985-1986,1986,3,Los Angeles Clippers,205,1
37,,4/19/1987,1972,6-Jun,Julius Erving,SF,1986-1987,1987,14,Philadelphia Sixers,200,1
24,,4/12/1987,1984,6-Jun,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1
27,,4/5/1987,1979,9-Jun,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1
29,,3/29/1987,1980,8-Jun,Larry Smith,PF,1986-1987,1987,6,Golden State Warriors,215,1
27,,3/22/1987,1979,9-Jun,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1
23,,3/15/1987,1985,9-Jun,Karl Malone,PF,1986-1987,1987,1,Utah Jazz,265,1
27,,3/8/1987,1979,9-Jun,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1
24,,3/1/1987,1984,6-Jun,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1
31,,2/22/1987,1976,10-Jun,Moses Malone,C,1986-1987,1987,10,Washington Bullets,215,1
27,,2/15/1987,1979,9-Jun,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1
26,,2/1/1987,1982,3-Jun,Fat Lever,PG,1986-1987,1987,4,Denver Nuggets,170,1
33,,1/25/1987,1976,7-Jun,Alex English,SF,1986-1987,1987,10,Denver Nuggets,190,1
24,,1/18/1987,1984,9-Jun,Otis Thorpe,PF,1986-1987,1987,2,Sacramento Kings,225,1
25,,1/11/1987,1981,1-Jun,Isiah Thomas,PG,1986-1987,1987,5,Detroit Pistons,180,1
30,,1/4/1987,1978,9-Jun,Larry Bird,SF,1986-1987,1987,7,Boston Celtics,220,1
24,,12/28/1986,1985,Jul-00,Patrick Ewing,C,1986-1987,1987,1,New York Knicks,240,1
27,,12/21/1986,1979,9-Jun,Magic Johnson,PG,1986-1987,1987,7,Los Angeles Lakers,255,1
27,,12/14/1986,1982,7-Jun,Dominique Wilkins,SF,1986-1987,1987,4,Atlanta Hawks,200,1
27,,12/7/1986,1981,10-Jun,Tom Chambers,PF,1986-1987,1987,5,Seattle SuperSonics,220,1
24,,11/30/1986,1985,11-Jun,Hot Rod Williams,FC,1986-1987,1987,0,Cleveland Cavaliers,215,1
24,,11/23/1986,1984,3-Jun,Alvin Robertson,SG,1986-1987,1987,2,San Antonio Spurs,185,1
33,,11/16/1986,1976,Jul-00,Robert Parish,C,1986-1987,1987,9,Boston Celtics,230,1
24,,11/9/1986,1984,6-Jun,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,215,1
24,,4/24/1988,1985,9-Jun,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,265,1
27,,4/17/1988,1982,3-Jun,Fat Lever,PG,1987-1988,1988,5,Denver Nuggets,170,1
24,,4/10/1988,1986,7-Jun,Harold Pressley,GF,1987-1988,1988,1,Sacramento Kings,210,1
25,,4/3/1988,1984,6-Jun,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1
25,,3/27/1988,1984,6-Jun,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1
25,,3/20/1988,1984,6-Jun,Charles Barkley,PF,1987-1988,1988,3,Philadelphia Sixers,252,1
25,,3/13/1988,1983,7-Jun,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1
27,,3/6/1988,1983,6-Jun,Bobby Hansen,SG,1987-1988,1988,4,Utah Jazz,190,1
23,,2/28/1988,1986,11-Jun,Roy Tarpley,PF,1987-1988,1988,1,Dallas Mavericks,230,1
25,,2/21/1988,1984,1-Jun,John Stockton,PG,1987-1988,1988,3,Utah Jazz,170,1
28,,2/14/1988,1982,7-Jun,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1
31,,1/31/1988,1977,7-Jun,Bernard King,SF,1987-1988,1988,10,Washington Bullets,205,1
25,,1/24/1988,1984,6-Jun,Michael Jordan,SG,1987-1988,1988,3,Chicago Bulls,215,1
28,,1/17/1988,1982,7-Jun,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1
26,,1/10/1988,1983,3-Jun,Byron Scott,SG,1987-1988,1988,4,Los Angeles Lakers,195,1
24,,1/3/1988,1985,9-Jun,Karl Malone,PF,1987-1988,1988,2,Utah Jazz,265,1
28,,12/27/1987,1982,7-Jun,Dominique Wilkins,SF,1987-1988,1988,5,Atlanta Hawks,200,1
29,,12/20/1987,1981,10-Jun,Larry Nance,PF,1987-1988,1988,6,Phoenix Suns,205,1
28,,12/13/1987,1979,9-Jun,Magic Johnson,PG,1987-1988,1988,8,Los Angeles Lakers,255,1
25,,12/6/1987,1983,7-Jun,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1
25,,11/29/1987,1983,7-Jun,Clyde Drexler,SG,1987-1988,1988,4,Portland Trail Blazers,210,1
24,,11/22/1987,1985,7-Jun,Xavier McDaniel,PF,1987-1988,1988,2,Seattle SuperSonics,205,1
31,,11/15/1987,1978,9-Jun,Larry Bird,SF,1987-1988,1988,8,Boston Celtics,220,1
25,,4/23/1989,1985,7-Jun,Xavier McDaniel,PF,1988-1989,1989,3,Seattle SuperSonics,205,1
25,,4/16/1989,1985,9-Jun,Karl Malone,PF,1988-1989,1989,3,Utah Jazz,265,1
26,,4/9/1989,1983,7-Jun,Clyde Drexler,SG,1988-1989,1989,5,Portland Trail Blazers,210,1
26,,4/2/1989,1984,6-Jun,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1
26,,3/26/1989,1984,6-Jun,Michael Jordan,SG,1988-1989,1989,4,Chicago Bulls,215,1
22,,3/19/1989,1987,1-Jun,Kevin Johnson,PG,1988-1989,1989,1,Phoenix Suns,180,1
27,,3/12/1989,1981,1-Jun,Isiah Thomas,PG,1988-1989,1989,7,Detroit Pistons,180,1
24,,3/5/1989,1986,8-Jun,Chuck Person,SF,1988-1989,1989,2,Indiana Pacers,220,1
26,,2/26/1989,1985,Jul-00,Patrick Ewing,C,1988-1989,1989,3,New York Knicks,240,1
